pc_timestamp,stm32_ms,adc_raw,adc_voltage_v,sensor_voltage_v,pressure_bar,duty_percent,frequency_hz,estimated_output_rms_v,jsy_online,jsy_voltage_rms_v,jsy_current_rms_a,jsy_voltage_raw_v,jsy_current_raw_a,jsy_active_power_w,jsy_power_factor,jsy_energy_kwh,jsy_error_count,nn_mode,nn_duty_percent,valve_open_count,valve_state_label,valve_phase,setpoint_bar,episode_id,is_decision,t_rel,error
2026-07-02T01:40:34.650,2770825,498,0.4043333333333334,0.5922666666666667,0.2767333333333333,95.0,5000,209.0,1,206.52,0.679,207.7,0.755,156,0.994,0.07,2113,1,95.0,4,4 keran stabil,stable,0.3,1,0,48.399,0.023266666666666713
2026-07-02T01:40:35.214,2771402,503,0.4048,0.5923333333333333,0.2767333333333333,95.0,5000,209.0,1,206.53,0.679,207.71,0.755,156,0.994,0.07,2113,1,95.0,4,4 keran stabil,stable,0.3,1,0,48.963,0.023266666666666713
2026-07-02T01:40:35.730,2771937,504,0.405,0.5929333333333333,0.2785333333333333,95.0,5000,209.0,1,206.53,0.679,207.71,0.755,156,0.994,0.07,2113,1,95.0,4,4 keran stabil,stable,0.3,1,0,49.479,0.02146666666666669
2026-07-02T01:40:36.228,2772407,495,0.4045333333333333,0.5923999999999999,0.2768666666666667,95.0,5000,209.0,1,206.59,0.679,207.77,0.755,156,0.994,0.07,2113,1,95.0,4,4 keran stabil,stable,0.3,1,0,49.977,0.023133333333333284
2026-07-02T01:40:36.777,2772942,505,0.4034,0.5914666666666667,0.2738666666666667,95.0,5000,209.0,1,206.59,0.679,207.77,0.755,156,0.994,0.07,2113,1,95.0,4,4 keran stabil,stable,0.3,1,0,50.526,0.026133333333333286
2026-07-02T01:40:37.337,2773518,495,0.4031333333333334,0.5900666666666666,0.2702,95.0,5000,209.0,1,206.54,0.679,207.72,0.755,156,0.994,0.07,2113,1,95.0,4,4 keran stabil,stable,0.3,1,0,51.086,0.029799999999999993
2026-07-02T01:40:37.840,2774053,502,0.4031333333333334,0.5900666666666666,0.2702,95.0,5000,209.0,1,206.54,0.679,207.72,0.755,156,0.994,0.07,2113,1,95.0,4,4 keran stabil,stable,0.3,1,0,51.589,0.029799999999999993
2026-07-02T01:40:38.343,2774523,503,0.4033333333333333,0.5901333333333334,0.2705333333333333,95.0,5000,209.0,1,206.55,0.679,207.73,0.755,156,0.994,0.07,2113,1,95.0,4,4 keran stabil,stable,0.3,1,0,52.092,0.029466666666666697
2026-07-02T01:40:38.842,2775058,494,0.4033333333333333,0.5911333333333333,0.2735333333333333,95.0,5000,209.0,1,206.55,0.679,207.73,0.755,156,0.994,0.07,2113,1,95.0,4,4 keran stabil,stable,0.3,1,0,52.591,0.026466666666666694
2026-07-02T01:40:39.345,2775528,510,0.4038,0.5917333333333333,0.2754,95.0,5000,209.0,1,206.57,0.679,207.75,0.755,156,0.994,0.07,2113,1,95.0,4,4 keran stabil,stable,0.3,1,0,53.094,0.02460000000000001
2026-07-02T01:40:39.847,2776063,498,0.4036666666666667,0.5921333333333333,0.2766666666666666,95.0,5000,209.0,1,206.57,0.679,207.75,0.755,156,0.994,0.07,2113,1,95.0,4,4 keran stabil,stable,0.3,1,0,53.596,0.023333333333333373
