pc_timestamp,stm32_ms,adc_raw,adc_voltage_v,sensor_voltage_v,pressure_bar,duty_percent,frequency_hz,estimated_output_rms_v,jsy_online,jsy_voltage_rms_v,jsy_current_rms_a,jsy_voltage_raw_v,jsy_current_raw_a,jsy_active_power_w,jsy_power_factor,jsy_energy_kwh,jsy_error_count,nn_mode,nn_duty_percent,valve_open_count,valve_state_label,valve_phase,setpoint_bar,episode_id,is_decision,event
2026-06-25T01:30:43.130,493825,518,0.4305333333333333,0.6320666666666667,0.3962,79.06,5000,173.93,1,173.16,0.82,176.03,0.894,156,0.991,0.05,55,1,79.06,-,Belum ditandai,unset,0.3,1,0,
2026-06-25T01:30:43.633,494356,509,0.4246666666666667,0.6240666666666667,0.37279999999999996,79.06,5000,173.93,1,173.16,0.82,176.03,0.894,156,0.991,0.05,55,1,79.06,-,Belum ditandai,unset,0.3,1,0,
2026-06-25T01:30:44.138,494830,519,0.42066666666666663,0.6170666666666667,0.35173333333333334,79.06,5000,173.93,1,169.28,0.816,172.35,0.89,152,0.99,0.05,55,1,79.06,-,Belum ditandai,unset,0.3,1,0,
2026-06-25T01:30:44.637,495361,511,0.4200666666666667,0.6160666666666667,0.3482,79.06,5000,173.93,1,169.28,0.816,172.35,0.89,152,0.99,0.05,55,1,79.06,-,Belum ditandai,unset,0.3,1,0,
2026-06-25T01:30:45.136,495835,513,0.41906666666666664,0.6166,0.34919999999999995,79.06,5000,173.93,1,169.25,0.815,172.32,0.889,152,0.992,0.05,55,1,79.06,-,Belum ditandai,unset,0.3,1,0,
2026-06-25T01:30:45.636,496366,501,0.4188666666666666,0.6158666666666667,0.3467333333333333,77.12,5000,169.66,1,169.25,0.815,172.32,0.889,152,0.992,0.05,55,1,77.12,-,Belum ditandai,unset,0.3,1,0,
2026-06-25T01:30:46.135,496840,503,0.4139333333333333,0.6102666666666666,0.33039999999999997,77.12,5000,169.66,1,168.37,0.81,171.48,0.884,150,0.989,0.05,55,1,77.12,-,Belum ditandai,unset,0.3,1,0,
2026-06-25T01:30:46.635,497371,508,0.41153333333333336,0.6039333333333333,0.31166666666666665,77.12,5000,169.66,1,168.37,0.81,171.48,0.884,150,0.989,0.05,55,1,77.12,-,Belum ditandai,unset,0.3,1,0,
2026-06-25T01:30:47.136,497845,503,0.4083333333333333,0.5997333333333333,0.29946666666666666,77.12,5000,169.66,1,165.04,0.805,168.32,0.879,146,0.986,0.05,55,1,77.12,-,Belum ditandai,unset,0.3,1,0,
2026-06-25T01:30:47.639,498376,499,0.4076666666666667,0.5985999999999999,0.2965333333333333,77.12,5000,169.66,1,165.04,0.805,168.32,0.879,146,0.986,0.05,55,1,77.12,-,Belum ditandai,unset,0.3,1,0,
2026-06-25T01:30:48.234,498957,502,0.40586666666666665,0.599,0.29766666666666663,77.12,5000,169.66,1,165.04,0.805,168.32,0.879,146,0.986,0.05,55,1,77.12,-,Belum ditandai,unset,0.3,1,0,
2026-06-25T01:30:48.755,499487,511,0.4046666666666667,0.5983333333333333,0.29533333333333334,77.23,5000,169.9,1,165.04,0.805,168.32,0.879,146,0.986,0.05,55,1,77.23,-,Belum ditandai,unset,0.3,1,0,
2026-06-25T01:30:49.350,500068,507,0.40386666666666665,0.5985999999999999,0.29573333333333335,77.23,5000,169.9,1,165.33,0.805,168.6,0.879,147,0.991,0.05,55,1,77.23,-,Belum ditandai,unset,0.3,1,0,
2026-06-25T01:30:49.848,500598,522,0.4069333333333333,0.5990666666666666,0.297,77.23,5000,169.9,1,165.33,0.805,168.6,0.879,147,0.991,0.05,55,1,77.23,-,Belum ditandai,unset,0.3,1,0,
2026-06-25T01:30:50.348,501073,520,0.4084,0.5993999999999999,0.2982666666666667,77.23,5000,169.9,1,165.32,0.805,168.59,0.879,147,0.991,0.05,55,1,77.23,-,Belum ditandai,unset,0.3,1,0,
2026-06-25T01:30:50.850,501603,509,0.41019999999999995,0.5995333333333334,0.29860000000000003,77.23,5000,169.9,1,165.32,0.805,168.59,0.879,147,0.991,0.05,55,1,77.23,-,Belum ditandai,unset,0.3,1,0,
2026-06-25T01:30:51.443,502184,521,0.4092,0.599,0.2971333333333333,77.4,5000,170.28,1,165.39,0.805,168.65,0.879,147,0.991,0.05,55,1,77.4,-,Belum ditandai,unset,0.3,1,0,
2026-06-25T01:30:51.943,502714,507,0.409,0.5997333333333333,0.29946666666666666,77.4,5000,170.28,1,165.39,0.805,168.65,0.879,147,0.991,0.05,55,1,77.4,-,Belum ditandai,unset,0.3,1,0,
2026-06-25T01:30:52.553,503295,509,0.4091333333333333,0.5998666666666667,0.3002666666666666,77.4,5000,170.28,1,165.59,0.804,168.84,0.878,147,0.991,0.05,55,1,77.4,-,Belum ditandai,unset,0.3,1,0,
2026-06-25T01:30:53.121,503875,512,0.41273333333333334,0.6018666666666667,0.30660000000000004,77.4,5000,170.28,1,165.71,0.803,168.96,0.877,146,0.985,0.05,55,1,77.4,-,Belum ditandai,unset,0.3,1,0,
2026-06-25T01:30:53.678,504405,504,0.4126666666666666,0.6027333333333333,0.3094,77.4,5000,170.28,1,165.71,0.803,168.96,0.877,146,0.985,0.05,55,1,77.4,-,Belum ditandai,unset,0.3,1,0,
2026-06-25T01:30:54.241,504986,509,0.41186666666666666,0.604,0.31306666666666666,77.4,5000,170.28,1,165.69,0.801,168.94,0.875,146,0.987,0.05,55,1,77.4,-,Belum ditandai,unset,0.3,1,0,
2026-06-25T01:30:54.740,505516,511,0.4095333333333333,0.6029333333333333,0.3098,77.04,5000,169.49,1,165.69,0.801,168.94,0.875,146,0.987,0.05,55,1,77.04,-,Belum ditandai,unset,0.3,1,0,
2026-06-25T01:30:55.242,505991,504,0.40859999999999996,0.6015999999999999,0.30533333333333335,77.04,5000,169.49,1,164.89,0.799,168.18,0.873,145,0.987,0.05,55,1,77.04,-,Belum ditandai,unset,0.3,1,0,
2026-06-25T01:30:55.744,506521,508,0.41006666666666663,0.6010000000000001,0.3034,77.04,5000,169.49,1,164.89,0.799,168.18,0.873,145,0.987,0.05,55,1,77.04,-,Belum ditandai,unset,0.3,1,0,
2026-06-25T01:30:56.367,507102,507,0.40946666666666665,0.6010000000000001,0.3028666666666667,77.04,5000,169.49,1,164.88,0.799,168.17,0.873,145,0.987,0.05,55,1,77.04,-,Belum ditandai,unset,0.3,1,0,
2026-06-25T01:30:56.869,507632,400,0.40346666666666664,0.6002,0.3011333333333333,77.04,5000,169.49,1,164.88,0.799,168.17,0.873,145,0.987,0.05,55,1,77.04,-,Belum ditandai,unset,0.3,1,0,
2026-06-25T01:30:57.430,508213,510,0.4024,0.5995333333333334,0.2994,76.94,5000,169.26,1,164.85,0.799,168.14,0.873,145,0.987,0.05,55,1,76.94,-,Belum ditandai,unset,0.3,1,0,
2026-06-25T01:30:57.992,508743,505,0.4010666666666667,0.5982666666666667,0.29560000000000003,76.94,5000,169.26,1,164.85,0.799,168.14,0.873,145,0.987,0.05,55,1,76.94,-,Belum ditandai,unset,0.3,1,0,
2026-06-25T01:30:58.555,509324,511,0.4062666666666666,0.5989333333333333,0.29706666666666665,76.94,5000,169.26,1,164.6,0.797,167.9,0.872,145,0.99,0.05,55,1,76.94,-,Belum ditandai,unset,0.3,1,0,
2026-06-25T01:30:59.116,509904,510,0.4076,0.5994666666666666,0.2982666666666667,76.94,5000,169.26,1,164.74,0.797,168.04,0.872,145,0.989,0.05,55,1,76.94,-,Belum ditandai,unset,0.3,1,0,
2026-06-25T01:30:59.677,510435,501,0.4080666666666667,0.5991333333333333,0.2971333333333333,76.94,5000,169.26,1,164.74,0.797,168.04,0.872,145,0.989,0.05,55,1,76.94,-,Belum ditandai,unset,0.3,1,0,
2026-06-25T01:31:00.246,511016,498,0.40753333333333336,0.5978666666666667,0.29286666666666666,76.94,5000,169.26,1,164.72,0.8,168.02,0.874,145,0.987,0.05,55,1,76.94,-,Belum ditandai,unset,0.3,1,0,
2026-06-25T01:31:00.749,511546,514,0.4066666666666666,0.5966666666666666,0.28933333333333333,77.23,5000,169.91,1,164.72,0.8,168.02,0.874,145,0.987,0.05,55,1,77.23,-,Belum ditandai,unset,0.3,1,0,
2026-06-25T01:31:01.257,512021,497,0.4048666666666667,0.5962,0.2879333333333333,77.23,5000,169.91,1,165.23,0.802,168.5,0.876,146,0.989,0.05,55,1,77.23,-,Belum ditandai,unset,0.3,1,0,
2026-06-25T01:31:01.786,512551,508,0.4060666666666667,0.597,0.29073333333333334,77.23,5000,169.91,1,165.23,0.802,168.5,0.876,146,0.989,0.05,55,1,77.23,-,Belum ditandai,unset,0.3,1,0,
2026-06-25T01:31:02.352,513131,512,0.4036666666666667,0.5968,0.29006666666666664,77.23,5000,169.91,1,165.46,0.802,168.72,0.876,146,0.987,0.05,55,1,77.23,-,Belum ditandai,unset,0.3,1,0,
2026-06-25T01:31:02.977,513767,500,0.4053333333333333,0.5976,0.29246666666666665,77.23,5000,169.91,1,165.46,0.802,168.72,0.876,146,0.987,0.05,55,1,77.23,-,Belum ditandai,unset,0.3,1,0,
2026-06-25T01:31:03.477,514242,510,0.4046,0.5974666666666667,0.2921333333333333,76.99,5000,169.38,1,165.58,0.801,168.83,0.875,146,0.988,0.05,55,1,76.99,-,Belum ditandai,unset,0.3,1,0,
2026-06-25T01:31:03.975,514772,512,0.4078666666666667,0.5978666666666667,0.2938666666666666,76.99,5000,169.38,1,165.58,0.801,168.83,0.875,146,0.988,0.05,55,1,76.99,-,Belum ditandai,unset,0.3,1,0,
2026-06-25T01:31:04.477,515247,506,0.4074,0.5978666666666667,0.29419999999999996,76.99,5000,169.38,1,165.28,0.8,168.55,0.874,146,0.991,0.05,55,1,76.99,-,Belum ditandai,unset,0.3,1,0,
2026-06-25T01:31:04.976,515777,501,0.4076,0.5975333333333332,0.2931333333333333,76.99,5000,169.38,1,165.28,0.8,168.55,0.874,146,0.991,0.05,55,1,76.99,-,Belum ditandai,unset,0.3,1,0,
